x,Train
-3.865,0.90094
-1.434,0.96714
-0.115,0.99543
1.266,0.97817
3.831,0.91565
5.722,0.85681
8.017,0.79062
10.177,0.71706
12.202,0.64351
14.227,0.57364
16.387,0.50377
18.818,0.44125
21.518,0.38241
24.488,0.34196
27.729,0.32357
30.97,0.30886
34.345,0.31254
37.586,0.31254
40.961,0.30151
44.202,0.29048
47.308,0.27209
50.278,0.239
51.628,0.22429
54.058,0.16545
56.624,0.10293
58.919,0.03673
61.484,-0.02211
62.429,-0.04417
65.4,-0.0883
68.505,-0.11772
71.746,-0.12875
75.121,-0.13611
78.362,-0.12875
81.738,-0.11771
84.843,-0.09932
88.084,-0.08094
91.325,-0.05519
94.565,-0.04783
97.941,-0.04048
101.182,-0.05151
103.924,-0.08851
